country,year,company,marketperspective,moralperspective,innovationperspective
us,2012,carmax,0,0,0
us,2012,marriottinternational,0,0,0
us,2012,goldmansachsgroup,0,0,0
us,2012,prudentialfinancial,0,5,0
us,2012,hp,0,0,0
us,2012,lear,0,0,1
us,2012,berkshirehathaway,0,0,0
us,2012,bristolmyerssquibb,0,2,0
us,2012,aflac,0,0,0
us,2012,usbancorp,0,1,0
us,2012,bankofamericacorp.,0,0,0
us,2012,sysco,0,0,1
us,2012,ups,0,0,0
us,2012,jpmorganchase,0,0,0
us,2012,boeing,0,0,0
us,2012,paccar,0,0,0
us,2012,westerndigital,0,0,0
us,2012,fluor,1,0,0
us,2012,lowe's,0,0,0
us,2012,internationalpaper,0,0,0
us,2012,jabil,0,0,0
us,2012,appliedmaterials,0,0,0
us,2012,capitalonefinancial,0,0,1
us,2012,honeywellinternational,0,0,0
us,2012,generalelectric,0,0,0
us,2012,unitedtechnologies,0,0,0
us,2012,waltdisney,0,0,0
us,2012,ibm,0,0,0
us,2012,pnc,0,0,0
us,2012,libertymutualinsurance,0,0,0
us,2012,fordmotor,0,0,0
us,2012,humana,0,0,0
us,2012,chartercommunications,0,0,0
us,2012,mckesson,0,0,0
us,2012,altriagroup,0,1,0
us,2012,ciscosystems,0,0,0
us,2012,dollartree,0,0,0
us,2012,archerdanielsmidland,0,0,1
us,2012,targetcorp.,0,0,0
us,2012,danaher,0,0,0
us,2012,freeport-mcmoran,0,0,0
us,2012,wellsfargo,0,0,0
us,2012,lockheedmartin,0,1,0
us,2012,coca-cola,0,0,0
us,2012,walmart,0,0,0
us,2012,cvshealth,0,0,0
us,2012,exxonmobil,0,0,1
us,2012,fedex,0,0,0
us,2012,autonation,0,0,0
us,2012,intel,0,0,0
us,2012,verizon,0,0,0
us,2012,metlifeinc.,0,1,1
us,2012,southerncompany,0,0,0
us,2012,whirlpool,0,0,0
us,2012,emerson electric,0,0,0
us,2012,proxy&gamble,0,0,0
us,2012,eogresources,0,0,0
us,2012,homedepot,0,0,0
us,2016,targetcorp.,0,0,0
us,2016,autonation,0,0,0
us,2016,bankofamericacorp.,0,0,0
us,2016,eogresources,0,0,0
us,2016,fedex,0,0,0
us,2016,appliedmaterials,0,0,0
us,2016,jpmorganchase,0,1,1
us,2016,internationalpaper,0,0,0
us,2016,libertymutualinsurance,0,0,0
us,2016,nexteraenergy,0,0,0
us,2016,chevron,0,0,0
us,2016,whirlpool,0,0,0
us,2016,southwestairlines,0,0,0
us,2016,starbucks,0,0,0
us,2016,wellsfargo,0,6,0
us,2016,genuineparts,0,0,0
us,2016,chartercommunications,0,1,0
us,2016,carmax,0,0,0
us,2016,verizon,0,0,0
us,2016,generaldynamics,0,1,0
us,2016,ibm,0,0,0
us,2016,halliburton,0,0,0
us,2016,usbancorp,0,2,0
us,2016,generalelectric,0,1,0
us,2016,berkshirehathaway,0,0,0
us,2016,humana,0,0,0
us,2016,aflac,0,0,0
us,2016,prudentialfinancial,1,4,0
us,2016,freeport-mcmoran,0,0,0
us,2016,goldmansachsgroup,0,0,0
us,2016,capitalonefinancial,0,1,0
us,2016,fordmotor,0,0,0
us,2016,waltdisney,0,0,0
us,2016,lowe's,0,0,0
us,2016,proxy&gamble,2,0,0
us,2016,southerncompany,0,1,0
us,2016,homedepot,0,0,0
us,2016,molinahealthcare,0,0,0
us,2016,ciscosystems,0,0,0
us,2016,ups,0,0,1
us,2016,danaher,0,0,0
us,2016,pnc,0,0,0
us,2016,marriottinternational,0,0,0
us,2016,bestbuy,0,0,0
us,2016,boeing,0,0,0
us,2016,coca-cola,1,3,0
us,2016,sysco,0,0,1
us,2016,lockheedmartin,0,0,0
us,2016,allstate,0,0,1
us,2016,raytheon,0,2,0
us,2016,westerndigital,0,0,0
us,2016,exxonmobil,0,0,0
us,2016,amazon.cominc.,0,0,0
us,2016,nucor,0,0,1
us,2016,fluor,1,0,0
us,2016,johnson&johnson,0,0,0
us,2016,dollartree,0,0,0
us,2016,altriagroup,0,1,0
us,2016,honeywellinternational,0,0,0
us,2016,unitedtechnologies,0,0,0
us,2016,costco,0,0,0
us,2016,mckesson,0,0,0
us,2016,emerson electric,0,0,0
us,2016,bristolmyerssquibb,0,1,1
us,2016,lear,0,0,2
us,2016,americanexpress,0,0,0
us,2016,hp,0,0,0
us,2016,jabil,0,0,0
us,2016,intel,0,1,0
us,2016,paccar,0,0,0
us,2016,walmart,0,0,0
us,2008,wellsfargo,0,0,0
us,2008,ciscosystems,0,0,0
us,2008,prudentialfinancial,0,0,0
us,2008,bankofamericacorp.,0,1,0
us,2008,elililly,0,1,0
us,2008,archerdanielsmidland,0,1,0
us,2008,dollartree,0,0,0
us,2008,ibm,0,0,0
us,2008,nucor,0,0,0
us,2008,targetcorp.,0,1,0
us,2008,goldmansachsgroup,0,0,0
us,2008,verizon,0,1,1
us,2008,marriottinternational,1,1,0
us,2008,autonation,0,0,0
us,2008,lear,0,0,0
us,2008,walmart,0,0,0
us,2008,aflac,0,0,0
us,2008,fordmotor,0,0,0
us,2008,chartercommunications,0,0,0
us,2008,libertymutualinsurance,0,0,0
us,2008,metlifeinc.,0,0,1
us,2008,carmax,0,0,0
us,2008,honeywellinternational,0,0,0
us,2008,cvshealth,0,0,0
us,2008,westerndigital,0,0,0
us,2008,chevron,0,0,0
us,2008,sysco,0,0,0
us,2008,unitedtechnologies,0,1,0
us,2008,whirlpool,0,0,0
us,2008,homedepot,0,0,0
us,2008,genuineparts,0,0,0
us,2008,altriagroup,0,0,0
us,2008,ups,0,0,0
us,2008,coca-cola,0,0,0
us,2008,southerncompany,0,0,0
us,2008,costco,0,0,0
us,2008,boeing,0,0,0
us,2008,bestbuy,0,0,0
us,2008,humana,0,0,0
us,2008,nexteraenergy,0,0,0
us,2008,generalelectric,0,0,1
us,2008,johnson&johnson,0,0,0
us,2008,intel,0,0,0
us,2008,starbucks,0,0,0
us,2008,generaldynamics,0,1,0
us,2008,hp,0,0,0
us,2008,allstate,0,0,0
us,2008,mckesson,0,0,0
us,2008,jpmorganchase,0,0,0
us,2008,danaher,0,0,0
us,2008,usbancorp,0,0,0
us,2008,exxonmobil,0,0,1
us,2008,eogresources,0,0,0
us,2008,bristolmyerssquibb,0,0,0
us,2008,lowe's,0,0,0
us,2008,paccar,0,0,0
us,2008,berkshirehathaway,0,0,0
us,2008,waltdisney,0,0,0
us,2008,internationalpaper,0,0,0
us,2008,fedex,0,0,0
us,2008,fluor,1,0,0
us,2008,lockheedmartin,0,0,0
us,2008,freeport-mcmoran,0,0,0
us,2008,molinahealthcare,1,1,0
us,2008,appliedmaterials,0,0,0
us,2008,halliburton,0,0,0
us,2008,southwestairlines,0,0,0
us,2008,amazon.cominc.,0,0,0
us,2008,capitalonefinancial,0,0,0
us,2008,americanexpress,0,0,0
us,2008,jabil,0,0,0
us,2008,proxy&gamble,0,0,0
us,2008,raytheon,0,1,0
us,2008,pnc,0,0,0
us,2008,emerson electric,0,0,0
us,2013,targetcorp.,0,0,0
us,2013,generaldynamics,0,1,0
us,2013,cvshealth,0,0,0
us,2013,humana,0,0,0
us,2013,archerdanielsmidland,0,0,4
us,2013,jabil,0,0,0
us,2013,autonation,0,0,0
us,2013,allstate,0,0,0
us,2013,chevron,0,0,0
us,2013,intel,0,0,0
us,2013,bestbuy,0,0,0
us,2013,unitedtechnologies,0,0,0
us,2013,appliedmaterials,0,0,0
us,2013,fordmotor,0,0,0
us,2013,westerndigital,0,0,0
us,2013,raytheon,0,0,0
us,2013,carmax,0,0,0
us,2013,southwestairlines,0,0,0
us,2013,verizon,0,0,0
us,2013,fedex,0,0,0
us,2013,emerson electric,0,0,0
us,2013,coca-cola,0,0,0
us,2013,mckesson,0,0,0
us,2013,freeport-mcmoran,0,0,0
us,2013,usbancorp,0,1,0
us,2013,generalelectric,0,0,0
us,2013,danaher,0,0,0
us,2013,eogresources,0,0,0
us,2013,lear,0,0,0
us,2013,bankofamericacorp.,0,1,0
us,2013,marriottinternational,0,0,0
us,2013,ibm,0,0,0
us,2013,amazon.cominc.,0,0,0
us,2013,altriagroup,0,1,0
us,2013,wellsfargo,1,2,1
us,2013,sysco,0,0,1
us,2013,whirlpool,0,0,0
us,2013,costco,0,0,0
us,2013,proxy&gamble,0,0,0
us,2013,ciscosystems,0,0,0
us,2013,honeywellinternational,0,0,0
us,2013,waltdisney,0,0,0
us,2013,fluor,1,0,0
us,2013,halliburton,0,0,0
us,2013,chartercommunications,0,0,0
us,2013,pnc,0,0,0
us,2013,lockheedmartin,0,0,0
us,2013,southerncompany,0,0,0
us,2013,dollartree,0,0,0
